group	x	y
2	53.7608292682927	6.893
3	31.8320243902439	7.7
5	64.1623414634146	5.808
6	66.701487804878	4.435
7	33.7870975609756	7.385
8	65.389243902439	3.089
10	69.309512195122	2.798
11	70.9424390243903	3.442
12	66.3655365853659	4.471
13	61.6445853658537	5.591
14	61.5188292682927	3.849
15	65.6108048780488	4.269
16	48.8019024390244	6.79
17	70.219512195122	2.592
18	36.8775609756098	6.344
19	69.4919512195122	2.24
20	54.6219756097561	7.168
21	41.8668780487805	6.801
22	36.179243902439	6.394
24	63.4029756097561	6.448
25	43.2725365853659	6.648
26	55.411756097561	6.143
27	63.9529512195122	4.45
28	37.5782195121951	6.67
29	51.2455365853659	6.649
30	68.8120487804878	2.5
31	61.8984878048781	6.46
32	71.3670731707317	3.681
33	41.451512195122	6.03
34	37.3187804878049	5.891
35	49.8399756097561	5.967
36	71.1960975609756	2.464
37	40.7545365853659	7.501
38	57.8295609756098	5.463
39	42.4059512195122	5.866
40	44.7041951219512	5.602
41	57.7348536585366	6.776
42	62.7389512195122	7.221
43	64.9006829268293	4.509
44	49.1239512195122	6.953
46	70.2499756097561	3.421
47	69.7868292682927	2.12
48	70.0100975609756	2.44
49	39.4818292682927	7.805
50	72.319756097561	2.544
52	53.232243902439	7.404
53	48.0688536585366	7.364
54	54.3500975609756	6.708
55	69.0655365853658	1.96
56	46.7697073170732	6.584
57	39.9479756097561	6.84
58	69.5190243902439	2.796
59	39.6971463414634	6.885
60	68.5778048780488	2.637
61	56.8113658536585	6.085
62	58.3835853658537	6.905
64	70.3146341463415	2.89
65	40.3700975609756	4.207
66	70.9268292682927	2.859
67	63.3108292682927	6.442
68	64.2297073170732	2.95
69	46.6138048780488	6.827
71	34.0109756097561	5.672
72	32.5340975609756	6.489
73	37.3319268292683	5.529
74	69.3679024390244	2.234
75	46.8214634146342	6.49
76	62.2191951219512	5.984
77	35.0500731707317	5.67
78	53.4889512195122	6.291
79	68.1300975609756	5.18
80	47.5879756097561	7.443
81	66.8070487804878	2.273
82	43.2229512195122	6.302
83	67.8658536585366	1.79
84	46.5567073170732	5.645
85	70.0879756097561	3.921
86	72.1121951219512	3.85
88	43.757756097561	5.842
89	50.976756097561	6.514
90	46.0850731707317	6.933
91	73.7219512195122	3.983
92	69.149756097561	2.463
93	70.8300975609756	2.525
94	65.2797804878049	5.627
95	55.2555609756098	7.904
96	68.5948780487805	2.01
97	47.652243902439	8.042
98	56.9863414634146	5.314
99	43.4316829268293	6.31
101	44.2339756097561	6.897
103	56.2178048780488	3.568
104	54.4830731707317	5.789
106	62.6799756097561	7.312
108	59.1315609756098	4.437
109	44.3913658536585	5.966
110	61.9509512195122	5.697
111	58.7473902439024	6.88
113	58.5498292682927	5.299
114	38.3846585365854	6.453
115	47.3924878048781	5.82
116	69.0953658536585	2.45
117	68.8736585365854	2.369
118	69.430487804878	1.91
119	47.6686829268293	7.156
120	47.5995853658537	7.159
122	62.534756097561	3.178
123	63.4125853658537	2.57
125	40.6787073170732	7.3
127	61.9580731707317	3.865
128	30.6864634146342	6.747
129	43.9551707317073	6.091
130	50.508243902439	7.347
131	66.0570731707317	4.525
133	42.9639024390244	6.794
134	68.2047804878049	3.237
135	60.6444146341463	6.124
136	38.5128780487805	7.118
137	38.2131707317073	6.979
138	58.1572926829268	6.771
139	60.4054878048781	6.213
140	35.9122682926829	6.601
141	48.1010975609756	6.184
142	59.4390243902439	6.01
143	37.9491707317073	7.109
144	39.2456829268293	6.346
145	48.236243902439	7.179
146	73.3239024390244	3.176
147	73.4480487804878	2.887
148	39.2014146341463	6.102
149	71.2317073170732	4.107
150	43.6146097560976	7.251
151	61.7543902439024	5.933
152	48.7038780487805	6.86
153	57.1358292682927	6.529
154	39.7173902439024	6.278
155	58.4254634146342	7.02
156	48.004	6.6
157	67.4268292682927	2.72
158	69.3397317073171	4.411
160	63.8908780487805	3.213
162	64.0785365853659	6.472
163	61.0786585365854	6.977
164	66.6350487804878	2.04
166	68.141512195122	2.36
167	42.8038048780488	8.153
168	46.1121707317073	7.243
169	50.3817073170732	6.383
171	42.1479024390244	6.608
172	73.3504878048781	2.246
173	66.432243902439	5.2
174	68.9780487804878	2.313
175	70.5011951219512	2.83
176	31.9848292682927	6.035
178	39.1810487804878	6.811
179	36.7866097560976	7.255
180	60.3999512195122	6.558
182	51.6565853658537	6.284
183	52.7113170731707	6.752
185	54.1151951219512	7.522
186	44.8194634146342	6.745
188	41.0037073170732	6.287
189	40.7076829268293	6.622
190	56.3500243902439	6.155
191	56.9900487804878	6.308
192	34.7290487804878	6.375
193	55.2718048780488	6.626
194	49.3058048780488	7.231
195	62.0972926829268	7.302
196	48.4239756097561	6.058
197	64.2196829268293	5.005
199	44.162243902439	6.804
200	70.4919512195122	2.14
201	45.0845609756098	7.04
202	70.119512195122	3.461
203	68.2059024390244	2.885
204	59.7176585365854	6.783
205	55.7307317073171	7.074
206	59.6514634146342	6.628
207	64.4625609756098	5.52
208	45.2356829268293	7.277
209	47.6881951219512	7.033
210	50.969512195122	7.296
211	38.3271707317073	7.328
212	49.8132926829268	6.317
213	45.8531707317073	7.127
214	52.2779024390244	7.267
