group	x	y
7792	77.3780487804878	1.888
7792	77.8780487804878	1.859
7792	77.8780487804878	1.842
7792	77.8292682926829	1.822
7792	78.0780487804878	1.796
7793	74.1887804878049	3.321
7793	74.4508292682927	3.197
7793	74.7098780487805	3.064
7793	74.9674146341464	2.929
7793	75.2239268292683	2.798
7794	55.7143902439024	5.464
7794	55.8160487804878	5.301
7794	55.9238536585366	5.113
7794	56.0652682926829	4.903
7794	56.2572682926829	4.678
7795	69.8618292682927	2.106
7795	70.0546341463415	2.007
7795	70.2429268292683	1.927
7795	70.4247317073171	1.868
7795	70.5990243902439	1.828
7796	66.011243902439	3.352
7796	66.2241463414634	3.33
7796	66.4335365853659	3.305
7796	66.6389024390244	3.276
7796	66.840243902439	3.244
7797	69.9952682926829	3.11
7797	70.2994390243903	3.003
7797	70.5870243902439	2.901
7797	70.867512195122	2.805
7797	71.1503902439024	2.718
7798	72.5460487804878	3.114
7798	72.7625609756098	3.101
7798	72.9715609756098	3.086
7798	73.1750731707317	3.067
7798	73.3745609756098	3.042
7799	77.6780487804878	1.347
7799	78.0317073170732	1.342
7799	78.5292682926829	1.355
7799	78.6829268292683	1.295
7799	79.6268292682927	1.191
7800	62.8804634146341	2.934
7800	63.2545365853659	2.849
7800	63.6206097560976	2.771
7800	63.9777073170732	2.699
7800	64.3278048780488	2.635
7801	79.1539024390244	1.502
7801	79.2936585365854	1.458
7801	79.6870731707317	1.5
7801	79.5363414634147	1.422
7801	80.200243902439	1.425
7802	58.1951219512195	3.8
7803	59.4390243902439	4.5
7805	69.4963414634146	2.38
7805	68.5706097560976	2.363
7805	67.4401707317073	2.338
7805	66.2719024390244	2.306
7805	65.2720731707317	2.266
7806	72.2060975609756	1.78
7806	72.6819512195122	1.67
7806	73.0381707317073	1.67
7806	73.3943902439024	1.65
7806	73.8210975609756	1.58
7807	55.866487804878	5.934
7807	56.6543658536585	5.782
7807	57.430756097561	5.603
7807	58.1821463414634	5.4
7807	58.8955853658537	5.175
7808	76.6550975609756	1.487
7808	76.9054390243902	1.394
7808	77.1502682926829	1.312
7808	77.3910975609756	1.242
7808	77.6284390243902	1.178
7809	70.5208292682927	3.438
7809	70.7398536585366	3.395
7809	70.9538780487805	3.349
7809	71.1634390243903	3.301
7809	71.368512195122	3.253
7811	66.4226585365854	4.82
7811	66.5357073170732	4.766
7811	66.648243902439	4.716
7811	66.759756097561	4.664
7811	66.8677073170732	4.608
7812	60.8246341463415	3.492
7812	60.9470243902439	3.227
7812	61.0843902439024	2.999
7812	61.2615609756098	2.808
7812	61.4990731707317	2.649
7813	58.4377317073171	3.181
7813	59.020756097561	3.06
7813	59.5732926829268	2.951
7813	60.0783414634146	2.852
7813	60.5264146341463	2.761
7814	71.5121951219512	2.85
7814	71.6560975609756	2.7633333333
7814	70.6731707317073	2.6766666667
7814	72.009756097561	2.59
7814	71.9975609756098	2.645
7815	76.1243902439025	2.12
7815	76.4341463414634	2.05
7815	76.8829268292683	2
7815	76.7341463414634	1.99
7815	76.7878048780488	1.96
7817	71.8446341463415	2.8605
7819	56.3991951219512	4.724
7819	56.7384634146342	4.701
7819	57.0559268292683	4.685
7819	57.3519512195122	4.671
7819	57.6308536585366	4.654
7820	65.5123658536585	4.177
7820	65.6843902439025	4.113
7820	65.8529512195122	4.056
7820	66.0185365853659	4.006
7820	66.1806341463415	3.962
7821	66.0700243902439	4.724
7821	66.5691463414634	4.709
7821	67.0518048780488	4.698
7821	67.5150243902439	4.688
7821	67.9542682926829	4.677
7822	76.478756097561	1.76
7822	76.857	1.778
7822	76.2975609756098	1.75
7822	76.3951219512195	1.71
7822	76.7463414634146	1.696
7823	57.8211219512195	5.596
7823	58.4545853658537	5.461
7823	59.0837317073171	5.326
7823	59.6959512195122	5.197
7823	60.2965853658537	5.077
7824	72.4528780487805	2.001
7824	72.3788536585366	1.952
7824	72.3063902439025	1.906
7824	72.2611707317073	1.862
7824	72.2539268292683	1.821
7825	47.9631463414634	5.651
7825	49.0801219512195	5.874
7825	50.1846341463415	6.125
7825	51.2641707317073	6.384
7825	52.314756097561	6.627
7826	69.7972195121951	4.583
7826	69.9007317073171	4.547
7826	70.0064634146342	4.501
7826	70.1192682926829	4.447
7826	70.238512195122	4.391
7828	64.1034146341463	4.844
7828	64.5593414634146	4.804
7828	65.0121463414634	4.761
7828	65.4593414634146	4.716
7828	65.8994878048781	4.667
7829	67.292756097561	3.261
7829	68.0933414634146	3.071
7829	68.8048292682927	2.87
7829	69.4316829268293	2.666
7829	69.9898536585366	2.473
7830	71.4652195121951	2.91
7830	71.487	2.784
7830	71.6177317073171	2.683
7830	71.8702926829268	2.604
7830	72.2410731707317	2.54
7832	67.8285365853659	2.399
7832	68.012756097561	2.295
7832	68.2789268292683	2.176
7832	68.6204634146342	2.053
7832	69.0294390243903	1.938
7833	75.8553658536585	1.49
7833	76.1063414634146	1.48
7833	76.4570731707317	1.44
7833	76.7156097560976	1.4
