colour	key	group	showSelectedlegendcolour
#F8766D	American Samoa	0	East Asia & Pacific (all income levels)
#F8766D	Australia	1	East Asia & Pacific (all income levels)
#F8766D	Brunei Darussalam	2	East Asia & Pacific (all income levels)
#F8766D	Cambodia	3	East Asia & Pacific (all income levels)
#F8766D	China	4	East Asia & Pacific (all income levels)
#F8766D	Fiji	5	East Asia & Pacific (all income levels)
#F8766D	French Polynesia	6	East Asia & Pacific (all income levels)
#F8766D	Guam	7	East Asia & Pacific (all income levels)
#F8766D	Hong Kong SAR, China	8	East Asia & Pacific (all income levels)
#F8766D	Indonesia	9	East Asia & Pacific (all income levels)
#F8766D	Japan	10	East Asia & Pacific (all income levels)
#F8766D	Kiribati	11	East Asia & Pacific (all income levels)
#F8766D	Korea, Dem. Rep.	12	East Asia & Pacific (all income levels)
#F8766D	Korea, Rep.	13	East Asia & Pacific (all income levels)
#F8766D	Lao PDR	14	East Asia & Pacific (all income levels)
#F8766D	Macao SAR, China	15	East Asia & Pacific (all income levels)
#F8766D	Malaysia	16	East Asia & Pacific (all income levels)
#F8766D	Marshall Islands	17	East Asia & Pacific (all income levels)
#F8766D	Micronesia, Fed. Sts.	18	East Asia & Pacific (all income levels)
#F8766D	Mongolia	19	East Asia & Pacific (all income levels)
#F8766D	Myanmar	20	East Asia & Pacific (all income levels)
#F8766D	New Caledonia	21	East Asia & Pacific (all income levels)
#F8766D	New Zealand	22	East Asia & Pacific (all income levels)
#F8766D	Northern Mariana Islands	23	East Asia & Pacific (all income levels)
#F8766D	Palau	24	East Asia & Pacific (all income levels)
#F8766D	Papua New Guinea	25	East Asia & Pacific (all income levels)
#F8766D	Philippines	26	East Asia & Pacific (all income levels)
#F8766D	Samoa	27	East Asia & Pacific (all income levels)
#F8766D	Singapore	28	East Asia & Pacific (all income levels)
#F8766D	Solomon Islands	29	East Asia & Pacific (all income levels)
#F8766D	Thailand	30	East Asia & Pacific (all income levels)
#F8766D	Timor-Leste	31	East Asia & Pacific (all income levels)
#F8766D	Tonga	32	East Asia & Pacific (all income levels)
#F8766D	Tuvalu	33	East Asia & Pacific (all income levels)
#F8766D	Vanuatu	34	East Asia & Pacific (all income levels)
#F8766D	Vietnam	35	East Asia & Pacific (all income levels)
#C49A00	Albania	36	Europe & Central Asia (all income levels)
#C49A00	Andorra	37	Europe & Central Asia (all income levels)
#C49A00	Armenia	38	Europe & Central Asia (all income levels)
#C49A00	Austria	39	Europe & Central Asia (all income levels)
#C49A00	Azerbaijan	40	Europe & Central Asia (all income levels)
#C49A00	Belarus	41	Europe & Central Asia (all income levels)
#C49A00	Belgium	42	Europe & Central Asia (all income levels)
#C49A00	Bosnia and Herzegovina	43	Europe & Central Asia (all income levels)
#C49A00	Bulgaria	44	Europe & Central Asia (all income levels)
#C49A00	Channel Islands	45	Europe & Central Asia (all income levels)
#C49A00	Croatia	46	Europe & Central Asia (all income levels)
#C49A00	Cyprus	47	Europe & Central Asia (all income levels)
#C49A00	Czech Republic	48	Europe & Central Asia (all income levels)
#C49A00	Denmark	49	Europe & Central Asia (all income levels)
#C49A00	Estonia	50	Europe & Central Asia (all income levels)
#C49A00	Faeroe Islands	51	Europe & Central Asia (all income levels)
#C49A00	Finland	52	Europe & Central Asia (all income levels)
#C49A00	France	53	Europe & Central Asia (all income levels)
#C49A00	Georgia	54	Europe & Central Asia (all income levels)
#C49A00	Germany	55	Europe & Central Asia (all income levels)
#C49A00	Greece	56	Europe & Central Asia (all income levels)
#C49A00	Greenland	57	Europe & Central Asia (all income levels)
#C49A00	Hungary	58	Europe & Central Asia (all income levels)
#C49A00	Iceland	59	Europe & Central Asia (all income levels)
#C49A00	Ireland	60	Europe & Central Asia (all income levels)
#C49A00	Isle of Man	61	Europe & Central Asia (all income levels)
#C49A00	Italy	62	Europe & Central Asia (all income levels)
#C49A00	Kazakhstan	63	Europe & Central Asia (all income levels)
#C49A00	Kosovo	64	Europe & Central Asia (all income levels)
#C49A00	Kyrgyz Republic	65	Europe & Central Asia (all income levels)
#C49A00	Latvia	66	Europe & Central Asia (all income levels)
#C49A00	Liechtenstein	67	Europe & Central Asia (all income levels)
#C49A00	Lithuania	68	Europe & Central Asia (all income levels)
#C49A00	Luxembourg	69	Europe & Central Asia (all income levels)
#C49A00	Macedonia, FYR	70	Europe & Central Asia (all income levels)
#C49A00	Moldova	71	Europe & Central Asia (all income levels)
#C49A00	Monaco	72	Europe & Central Asia (all income levels)
#C49A00	Montenegro	73	Europe & Central Asia (all income levels)
#C49A00	Netherlands	74	Europe & Central Asia (all income levels)
#C49A00	Norway	75	Europe & Central Asia (all income levels)
#C49A00	Poland	76	Europe & Central Asia (all income levels)
#C49A00	Portugal	77	Europe & Central Asia (all income levels)
#C49A00	Romania	78	Europe & Central Asia (all income levels)
#C49A00	Russian Federation	79	Europe & Central Asia (all income levels)
#C49A00	San Marino	80	Europe & Central Asia (all income levels)
#C49A00	Serbia	81	Europe & Central Asia (all income levels)
#C49A00	Slovak Republic	82	Europe & Central Asia (all income levels)
#C49A00	Slovenia	83	Europe & Central Asia (all income levels)
#C49A00	Spain	84	Europe & Central Asia (all income levels)
#C49A00	Sweden	85	Europe & Central Asia (all income levels)
#C49A00	Switzerland	86	Europe & Central Asia (all income levels)
#C49A00	Tajikistan	87	Europe & Central Asia (all income levels)
#C49A00	Turkey	88	Europe & Central Asia (all income levels)
#C49A00	Turkmenistan	89	Europe & Central Asia (all income levels)
#C49A00	Ukraine	90	Europe & Central Asia (all income levels)
#C49A00	United Kingdom	91	Europe & Central Asia (all income levels)
#C49A00	Uzbekistan	92	Europe & Central Asia (all income levels)
#53B400	Antigua and Barbuda	93	Latin America & Caribbean (all income levels)
#53B400	Argentina	94	Latin America & Caribbean (all income levels)
#53B400	Aruba	95	Latin America & Caribbean (all income levels)
#53B400	Bahamas, The	96	Latin America & Caribbean (all income levels)
#53B400	Barbados	97	Latin America & Caribbean (all income levels)
#53B400	Belize	98	Latin America & Caribbean (all income levels)
#53B400	Bolivia	99	Latin America & Caribbean (all income levels)
#53B400	Brazil	100	Latin America & Caribbean (all income levels)
#53B400	Cayman Islands	101	Latin America & Caribbean (all income levels)
#53B400	Chile	102	Latin America & Caribbean (all income levels)
#53B400	Colombia	103	Latin America & Caribbean (all income levels)
#53B400	Costa Rica	104	Latin America & Caribbean (all income levels)
#53B400	Cuba	105	Latin America & Caribbean (all income levels)
#53B400	Curacao	106	Latin America & Caribbean (all income levels)
#53B400	Dominica	107	Latin America & Caribbean (all income levels)
#53B400	Dominican Republic	108	Latin America & Caribbean (all income levels)
#53B400	Ecuador	109	Latin America & Caribbean (all income levels)
#53B400	El Salvador	110	Latin America & Caribbean (all income levels)
#53B400	Grenada	111	Latin America & Caribbean (all income levels)
#53B400	Guatemala	112	Latin America & Caribbean (all income levels)
#53B400	Guyana	113	Latin America & Caribbean (all income levels)
#53B400	Haiti	114	Latin America & Caribbean (all income levels)
#53B400	Honduras	115	Latin America & Caribbean (all income levels)
#53B400	Jamaica	116	Latin America & Caribbean (all income levels)
#53B400	Mexico	117	Latin America & Caribbean (all income levels)
#53B400	Nicaragua	118	Latin America & Caribbean (all income levels)
#53B400	Panama	119	Latin America & Caribbean (all income levels)
#53B400	Paraguay	120	Latin America & Caribbean (all income levels)
#53B400	Peru	121	Latin America & Caribbean (all income levels)
#53B400	Puerto Rico	122	Latin America & Caribbean (all income levels)
#53B400	Sint Maarten (Dutch part)	123	Latin America & Caribbean (all income levels)
#53B400	St. Kitts and Nevis	124	Latin America & Caribbean (all income levels)
#53B400	St. Lucia	125	Latin America & Caribbean (all income levels)
#53B400	St. Martin (French part)	126	Latin America & Caribbean (all income levels)
#53B400	St. Vincent and the Grenadines	127	Latin America & Caribbean (all income levels)
#53B400	Suriname	128	Latin America & Caribbean (all income levels)
#53B400	Trinidad and Tobago	129	Latin America & Caribbean (all income levels)
#53B400	Turks and Caicos Islands	130	Latin America & Caribbean (all income levels)
#53B400	Uruguay	131	Latin America & Caribbean (all income levels)
#53B400	Venezuela, RB	132	Latin America & Caribbean (all income levels)
#53B400	Virgin Islands (U.S.)	133	Latin America & Caribbean (all income levels)
#00C094	Algeria	134	Middle East & North Africa (all income levels)
#00C094	Bahrain	135	Middle East & North Africa (all income levels)
#00C094	Djibouti	136	Middle East & North Africa (all income levels)
#00C094	Egypt, Arab Rep.	137	Middle East & North Africa (all income levels)
#00C094	Iran, Islamic Rep.	138	Middle East & North Africa (all income levels)
#00C094	Iraq	139	Middle East & North Africa (all income levels)
#00C094	Israel	140	Middle East & North Africa (all income levels)
#00C094	Jordan	141	Middle East & North Africa (all income levels)
#00C094	Kuwait	142	Middle East & North Africa (all income levels)
#00C094	Lebanon	143	Middle East & North Africa (all income levels)
#00C094	Libya	144	Middle East & North Africa (all income levels)
#00C094	Malta	145	Middle East & North Africa (all income levels)
#00C094	Morocco	146	Middle East & North Africa (all income levels)
#00C094	Oman	147	Middle East & North Africa (all income levels)
#00C094	Qatar	148	Middle East & North Africa (all income levels)
#00C094	Saudi Arabia	149	Middle East & North Africa (all income levels)
